formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,validator_days,validator_total_return,validator_ann_return,validator_sharpe,validator_max_drawdown,validator_trade_count,validator_sell_count,validator_avg_cash_weight,benchmark_total_return,benchmark_ann_return
random_000175,10,no_max_holding,,5.0,2348,1.7247816256414135,0.11358184466055143,0.5540615792124653,-0.3240477703329748,1679,838,0.02054855033820008,0.874150570584729,0.06974150244931265
random_000175,10,max_holding_10,10.0,5.0,2348,1.387352055943825,0.09789303458100229,0.5075219000175133,-0.3791303865856933,2083,1040,0.03896821382144928,0.874150570584729,0.06974150244931265
random_000261,10,no_max_holding,,5.0,2348,1.7663659733561694,0.11539352971502259,0.48583805231305527,-0.40558866367645374,313,155,0.1547225911131461,0.874150570584729,0.06974150244931265
random_000261,10,max_holding_10,10.0,5.0,2348,1.0997270255407186,0.08286982038502533,0.3929130728074932,-0.3510436953490832,1349,673,0.1947991220040141,0.874150570584729,0.06974150244931265
random_000064,10,no_max_holding,,5.0,2348,0.0,0.0,,0.0,0,0,1.0,0.874150570584729,0.06974150244931265
random_000064,10,max_holding_10,10.0,5.0,2348,0.0,0.0,,0.0,0,0,1.0,0.874150570584729,0.06974150244931265
random_000015,10,no_max_holding,,5.0,2348,1.3136870886638548,0.09420610440174615,0.5084435598056374,-0.36211936918586385,831,414,0.1831569016506085,0.874150570584729,0.06974150244931265
random_000015,10,max_holding_10,10.0,5.0,2348,0.8899936103049777,0.07070840412404977,0.41796483144492336,-0.3765336040544309,1397,697,0.21281551881761213,0.874150570584729,0.06974150244931265
random_000273,10,no_max_holding,,5.0,2348,1.961327275079224,0.12357601392602513,0.5078207137337847,-0.35448327333943563,217,107,0.012730706562788767,0.874150570584729,0.06974150244931265
random_000273,10,max_holding_10,10.0,5.0,2348,0.177374594824536,0.017679305223712083,0.18894031411585677,-0.541631656861276,1471,734,0.06437380240724892,0.874150570584729,0.06974150244931265
random_000074,10,no_max_holding,,5.0,2348,1.7462986121328665,0.11452232238921178,0.48254290971129427,-0.3683516621268871,393,195,0.011576076588122458,0.874150570584729,0.06974150244931265
random_000074,10,max_holding_10,10.0,5.0,2348,0.5304858399438106,0.046735316029561824,0.31536431968465967,-0.4756138198984825,1631,814,0.05384434437806074,0.874150570584729,0.06974150244931265
random_000265,10,no_max_holding,,5.0,2348,0.5792006337122806,0.050261293728985246,0.33090277547940433,-0.47583428326189225,181,89,0.009942896242720024,0.874150570584729,0.06974150244931265
random_000265,10,max_holding_10,10.0,5.0,2348,0.8997484329462659,0.0713001487530347,0.35734223689670475,-0.37133324765487397,1439,718,0.06921738790561886,0.874150570584729,0.06974150244931265
random_000079,10,no_max_holding,,5.0,2348,0.5618148965605283,0.0490141994299238,0.32237538957229966,-0.5245142245284762,419,208,0.011793657692217513,0.874150570584729,0.06974150244931265
random_000079,10,max_holding_10,10.0,5.0,2348,1.1942991807926933,0.08800203320901256,0.40732740313522475,-0.42690445231263063,1655,826,0.049018718193461056,0.874150570584729,0.06974150244931265
random_000081,10,no_max_holding,,5.0,2348,1.5264984396175567,0.10458848023439371,0.4548409196060816,-0.44178714167669386,155,76,0.025073548392414945,0.874150570584729,0.06974150244931265
random_000081,10,max_holding_10,10.0,5.0,2348,-0.012156590899583652,-0.0013118448368257818,0.10859913521724895,-0.4582377473075264,1405,701,0.0925771334640949,0.874150570584729,0.06974150244931265
random_000025,10,no_max_holding,,5.0,2348,1.8091874239206125,0.11723388018642056,0.4903552402758485,-0.3683516621268871,391,194,0.01223908148511289,0.874150570584729,0.06974150244931265
random_000025,10,max_holding_10,10.0,5.0,2348,0.5459100690711722,0.0478624302266315,0.32025816204388996,-0.4659578775459845,1629,813,0.053830411871655076,0.874150570584729,0.06974150244931265
random_000245,10,no_max_holding,,5.0,2348,1.7786782661060418,0.1159252689370791,0.4864073128928698,-0.3531940502804479,403,200,0.013651900367496434,0.874150570584729,0.06974150244931265
random_000245,10,max_holding_10,10.0,5.0,2348,0.48360800184053643,0.04324640127711388,0.300330295082612,-0.4890188983950524,1633,815,0.05411819196099538,0.874150570584729,0.06974150244931265
random_000270,10,no_max_holding,,5.0,2348,1.6899309571771206,0.11204441124494724,0.47549469719217835,-0.3708249480302154,391,194,0.011391432916515067,0.874150570584729,0.06974150244931265
random_000270,10,max_holding_10,10.0,5.0,2348,0.41826638359845836,0.038215396401832136,0.27899880880089023,-0.5073005936720807,1617,807,0.05540789805066621,0.874150570584729,0.06974150244931265
random_000263,10,no_max_holding,,5.0,2348,0.6597609261688446,0.0558846383018885,0.3506836868505568,-0.49706121272701453,395,196,0.012836737699711564,0.874150570584729,0.06974150244931265
random_000263,10,max_holding_10,10.0,5.0,2348,0.601731135467567,0.0518593194610788,0.33672096736266344,-0.46187917503167586,1619,808,0.05370395970761874,0.874150570584729,0.06974150244931265
random_000065,10,no_max_holding,,5.0,2348,1.746574426014266,0.11453433507492994,0.4824700119306425,-0.35227742259391226,405,201,0.014119232919314507,0.874150570584729,0.06974150244931265
random_000065,10,max_holding_10,10.0,5.0,2348,0.5104248819911672,0.045254107656619524,0.30882092824399004,-0.4884028166885642,1625,811,0.053392159491221766,0.874150570584729,0.06974150244931265
random_000052,10,no_max_holding,,5.0,2348,1.746574426014266,0.11453433507492994,0.4824700119306425,-0.35227742259391226,405,201,0.014119232919314507,0.874150570584729,0.06974150244931265
random_000052,10,max_holding_10,10.0,5.0,2348,0.5104248819911672,0.045254107656619524,0.30882092824399004,-0.4884028166885642,1625,811,0.053392159491221766,0.874150570584729,0.06974150244931265
random_000235,10,no_max_holding,,5.0,2348,1.746574426014266,0.11453433507492994,0.4824700119306425,-0.35227742259391226,405,201,0.014119232919314507,0.874150570584729,0.06974150244931265
random_000235,10,max_holding_10,10.0,5.0,2348,0.5104248819911672,0.045254107656619524,0.30882092824399004,-0.4884028166885642,1625,811,0.053392159491221766,0.874150570584729,0.06974150244931265
random_000099,10,no_max_holding,,5.0,2348,0.6667914765115066,0.056363756900035256,0.35270740000530587,-0.5112838455798215,393,195,0.010576052163192925,0.874150570584729,0.06974150244931265
random_000099,10,max_holding_10,10.0,5.0,2348,0.3999464755769486,0.03676771645561594,0.2725590854090405,-0.4904500074693766,1633,815,0.05545861328518774,0.874150570584729,0.06974150244931265
random_000288,10,no_max_holding,,5.0,2348,1.7462986121328665,0.11452232238921178,0.48254290971129427,-0.3683516621268871,393,195,0.011576076588122458,0.874150570584729,0.06974150244931265
random_000288,10,max_holding_10,10.0,5.0,2348,0.4420339478438162,0.04006888672233777,0.286918146605025,-0.49466033502782947,1633,815,0.05422860537067866,0.874150570584729,0.06974150244931265
random_000156,10,no_max_holding,,5.0,2348,1.7462986121328665,0.11452232238921178,0.48254290971129427,-0.3683516621268871,393,195,0.011576076588122458,0.874150570584729,0.06974150244931265
random_000156,10,max_holding_10,10.0,5.0,2348,0.4531162354219518,0.040923822362170625,0.29047905046939504,-0.4907767097496355,1631,814,0.053955449445635954,0.874150570584729,0.06974150244931265
random_000199,10,no_max_holding,,5.0,2348,0.415859545583394,0.038026158489034456,0.27542226181583884,-0.5417249114551139,1227,612,0.01357879964154164,0.874150570584729,0.06974150244931265
random_000199,10,max_holding_10,10.0,5.0,2348,0.1035040051730376,0.010626604364565528,0.17137621012644244,-0.5323464612331676,1911,954,0.0359753626976913,0.874150570584729,0.06974150244931265
