formula_id,source,vocab_version,token_ids,token_names,token_len,horizon,valid,invalid_reason,reward,finite_count,coverage,finite_std,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,formula
random_000117,random,phase3a-v1,3 23 1 13 9,close RET10 high ABS SUB,5,10,True,,0.005342526435208447,43205,0.9960347649676096,1.4818418944892309,2337.0,0.005342526435208447,0.000991131977047477,0.5147625160462131,0.13463166616725286,3.501925545571245,random_000117
random_000118,random,phase3a-v1,1 17 16 19,high DELAY10 DELAY5 MA10,4,10,True,,0.0008944739303246464,42949,0.9901330198031215,1.4757330618634936,2337.0,0.0008944739303246464,0.0020260051264948398,0.5246041934103551,0.02254074304418109,3.501925545571245,random_000118
random_000119,random,phase3a-v1,7 15 14 17 2 20 24 24 9,CONST_1 DELAY1 SIGN DELAY10 low MA20 DECAY DECAY SUB,9,10,True,,0.005435627020388149,42940,0.9899255365746824,1.4475224951751207,2337.0,0.005435627020388149,0.0012802731249332844,0.5190415062045357,0.13697780091378137,3.501925545571245,random_000119
random_000120,random,phase3a-v1,3 22 13 21 12 19,close RET5 ABS STD10 NEG MA10,6,10,True,,0.0036211940344072734,42940,0.9899255365746824,0.02136304779029559,2337.0,0.0036211940344072734,0.003884319101710415,0.553701326486949,0.09125408966706329,3.501925545571245,random_000120
random_000121,random,phase3a-v1,3 18 12 3 9 1 9 2 8,close MA5 NEG close SUB high SUB low ADD,9,10,True,,0.005172331668081396,43301,0.9982479194042926,2.967274727782639,2337.0,0.005172331668081396,0.0011833647278390869,0.5164741121095422,0.13034275803565118,3.501925545571245,random_000121
random_000122,random,phase3a-v1,6 16 16 16 7 3 20 8 11,CONST_0 DELAY5 DELAY5 DELAY5 CONST_1 close MA20 ADD DIV,9,10,False,constant_signal,-2.0,43016,0.9916776171703898,0.0,,,,,,,
random_000123,random,phase3a-v1,7 17 12,CONST_1 DELAY10 NEG,3,10,False,constant_signal,-2.0,43357,0.9995389261590244,0.0,,,,,,,
random_000124,random,phase3a-v1,4 3 15 24 12 17 2 7 17 21 24 9 8 10,volume close DELAY1 DECAY NEG DELAY10 low CONST_1 DELAY10 STD10 DECAY SUB ADD MUL,14,10,True,,0.0052276259420742,43134,0.994397952832146,1930444.1953919854,2337.0,0.0052276259420742,0.0027153765563928123,0.527599486521181,0.13173617374026986,3.501925545571245,random_000124
random_000125,random,phase3a-v1,1 19 7 10,high MA10 CONST_1 MUL,4,10,True,,0.0015022913583127343,43206,0.9960578186596584,1.4802093920663302,2337.0,0.0015022913583127343,0.0024553314427635253,0.5271715875053488,0.037857742229480906,3.501925545571245,random_000125
random_000126,random,phase3a-v1,0 22 16 13 3 19 1 9 9,open RET5 DELAY5 ABS close MA10 high SUB SUB,9,10,True,,0.004349816003732687,43187,0.9956197985107315,0.09336306734401095,2337.0,0.004349816003732687,0.004072431696931352,0.5382969619169876,0.10961536329406371,3.501925545571245,random_000126
