step,avg_reward,std_reward,step_max_reward,best_gpu_reward,valid_rate,invalid_rate,avg_formula_len,entropy,loss,sample_seconds,vm_seconds,score_seconds,backward_seconds,step_seconds,formulas_per_second,cuda_memory_allocated_mb,cuda_memory_reserved_mb,avg_allowed_actions
1,-1.1247408390045166,1.9329860210418701,0.008245733566582203,0.008245733566582203,0.7109375,0.2890625,15.06787109375,40.64118194580078,-0.7956055998802185,8.70794734917581,0.24128399975597858,2.084838479757309,0.149869404733181,11.20129980519414,182.83592401038356,553.1396484375,15986.0,17.36586626838235
2,-0.9219670295715332,1.787977695465088,0.006618688814342022,0.008245733566582203,0.75732421875,0.24267578125,15.1396484375,40.694908142089844,-0.5304326415061951,8.151362385600805,0.21564199216663837,2.0484007243067026,0.05716492794454098,10.490249115973711,195.22891948118465,553.1396484375,16522.0,17.365607766544116
3,-0.8842950463294983,1.7715657949447632,0.006832181941717863,0.008245733566582203,0.77099609375,0.22900390625,15.1943359375,40.91107177734375,-0.7960649728775024,8.254646394401789,0.21850363165140152,2.046809969469905,0.057441962882876396,10.595846047624946,193.28329147053418,553.1396484375,16522.0,17.483944163602942
4,-0.7098331451416016,1.6144664287567139,0.007191202137619257,0.008245733566582203,0.81201171875,0.18798828125,15.2080078125,40.76748275756836,-0.5793462991714478,8.195326536893845,0.21503270417451859,1.993359049782157,0.05779230780899525,10.479150418192148,195.4356907068158,553.1396484375,16526.0,17.407628676470587
5,-0.6682278513908386,1.6042147874832153,0.007550008129328489,0.008245733566582203,0.83203125,0.16796875,15.2001953125,40.71582794189453,-0.5952290296554565,8.07624976709485,0.2153214756399393,2.0230631977319717,0.05812951363623142,10.390710501000285,197.09913001645506,553.1396484375,16526.0,17.404698988970587
6,-0.5812208652496338,1.4834996461868286,0.006914335303008556,0.008245733566582203,0.8447265625,0.1552734375,15.11083984375,40.41947555541992,-0.6010392904281616,8.041462358087301,0.2153581827878952,1.9983787816017866,0.05721712298691273,10.330588139593601,198.2462152518421,553.1396484375,16526.0,17.293198529411764
7,-0.5646075010299683,1.4537405967712402,0.007079325616359711,0.008245733566582203,0.845703125,0.154296875,15.04248046875,40.23520278930664,-0.6883035898208618,8.00200142338872,0.2160542644560337,2.016489278525114,0.05709213204681873,10.309750473126769,198.64690278763624,553.1396484375,16526.0,17.246897977941178
8,-0.4243396818637848,1.2871928215026855,0.007322768215090036,0.008245733566582203,0.88427734375,0.11572265625,15.05908203125,40.208030700683594,-0.6353795528411865,8.108219880610704,0.21613586321473122,2.0216264333575964,0.05774463713169098,10.421416483819485,196.51839106322723,553.1396484375,16526.0,17.254021139705884
9,-0.40623682737350464,1.2761050462722778,0.007042983081191778,0.008245733566582203,0.892578125,0.107421875,15.220703125,40.42674255371094,-0.37563902139663696,8.1086300984025,0.21418537199497223,2.0605929773300886,0.05877130851149559,10.460328236222267,195.78735521014897,553.1396484375,16526.0,17.328010110294116
10,-0.36475124955177307,1.211427927017212,0.006923682987689972,0.008245733566582203,0.90234375,0.09765625,15.23095703125,40.520668029785156,-0.7200115919113159,8.200441505759954,0.21415181644260883,2.019677098840475,0.0572042241692543,10.509305369108915,194.874915902615,553.1396484375,16526.0,17.415584788602942
