formula_id,source,vocab_version,token_ids,token_names,decoded_formula,token_len,horizon,valid,invalid_reason,reward,finite_count,coverage,finite_std,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,max_abs_signal,step,sample_idx
phase3c_gpu_000015_0387,phase3c_gpu_train,phase3a-v1,5 13 5 5 8 13 8 7 16 1 6 8 15 19 9 10,amount ABS amount amount ADD ABS ADD CONST_1 DELAY5 high CONST_0 ADD DELAY1 MA10 SUB MUL,((ABS(amount) ADD ABS((amount ADD amount))) MUL (DELAY5(CONST_1) SUB MA10(DELAY1((high ADD CONST_0))))),16,10,True,,0.006704415660351515,43187,0.9956197738647461,13285957632.0,2337,0.006704415660351515,,0.5267437100410461,0.16895127464085818,3.501925468444824,554031906816.0,15,387
phase3c_gpu_000037_0706,phase3c_gpu_train,phase3a-v1,7 1 9 19 1 4 0 5 5 8 17 21 10 8 8 10,CONST_1 high SUB MA10 high volume open amount amount ADD DELAY10 STD10 MUL ADD ADD MUL,(MA10((CONST_1 SUB high)) MUL (high ADD (volume ADD (open MUL STD10(DELAY10((amount ADD amount))))))),16,10,True,,0.006700523197650909,43016,0.9916775822639465,23493015552.0,2337,0.006700523197650909,,0.5258879065513611,0.16885318458080292,3.501925468444824,979215581184.0,37,706
phase3c_gpu_000045_0277,phase3c_gpu_train,phase3a-v1,4 24 19 18 0 3 14 12 8 10 12,volume DECAY MA10 MA5 open close SIGN NEG ADD MUL NEG,NEG((MA5(MA10(DECAY(volume))) MUL (open ADD NEG(SIGN(close))))),11,10,True,,0.006695328745990992,43092,0.9934296607971191,8513645.0,2337,0.006695328745990992,,0.5220367908477783,0.168722284398973,3.501925468444824,171211056.0,45,277
phase3c_gpu_000003_0375,phase3c_gpu_train,phase3a-v1,5 13 3 24 20 19 11 13 5 0 10 9 7 14 15 9,amount ABS close DECAY MA20 MA10 DIV ABS amount open MUL SUB CONST_1 SIGN DELAY1 SUB,((ABS((ABS(amount) DIV MA10(MA20(DECAY(close))))) SUB (amount MUL open)) SUB DELAY1(SIGN(CONST_1))),16,10,True,,0.006689887028187513,42807,0.9868593811988831,5379425792.0,2337,0.006689887028187513,,0.5237483978271484,0.16858515311032535,3.501925468444824,213411889152.0,3,375
phase3c_gpu_000047_0142,phase3c_gpu_train,phase3a-v1,4 2 19 13 24 18 4 10 0 2 13 1 9 9 8 9,volume low MA10 ABS DECAY MA5 volume MUL open low ABS high SUB SUB ADD SUB,(volume SUB ((MA5(DECAY(ABS(MA10(low)))) MUL volume) ADD (open SUB (ABS(low) SUB high)))),16,10,True,,0.006689268164336681,43092,0.9934296607971191,9059472.0,2337,0.006689268164336681,,0.5237483978271484,0.16856955774128438,3.501925468444824,315579776.0,47,142
phase3c_gpu_000009_0427,phase3c_gpu_train,phase3a-v1,0 0 17 23 13 24 3 20 23 13 10 12 4 10 19 9,open open DELAY10 RET10 ABS DECAY close MA20 RET10 ABS MUL NEG volume MUL MA10 SUB,(open SUB MA10((NEG((DECAY(ABS(RET10(DELAY10(open)))) MUL ABS(RET10(MA20(close))))) MUL volume))),16,10,True,,0.006684651132673025,42655,0.9833552241325378,138949.515625,2337,0.006684651132673025,,0.5044929385185242,0.16845320854336024,3.501925468444824,6912474.5,9,427
phase3c_gpu_000031_0989,phase3c_gpu_train,phase3a-v1,3 0 3 21 11 14 12 20 8 3 1 2 23 9 9 10,close open close STD10 DIV SIGN NEG MA20 ADD close high low RET10 SUB SUB MUL,((close ADD MA20(NEG(SIGN((open DIV STD10(close)))))) MUL (close SUB (high SUB RET10(low)))),16,10,True,,0.00667195301502943,43187,0.9956197738647461,0.3747258484363556,2337,0.00667195301502943,,0.5421480536460876,0.16813321597874165,3.501925468444824,24.917348861694336,31,989
phase3c_gpu_000050_0720,phase3c_gpu_train,phase3a-v1,2 1 7 18 19 12 24 8 0 4 19 24 12 8 10 8,low high CONST_1 MA5 MA10 NEG DECAY ADD open volume MA10 DECAY NEG ADD MUL ADD,(low ADD ((high ADD DECAY(NEG(MA10(MA5(CONST_1))))) MUL (open ADD NEG(DECAY(MA10(volume)))))),16,10,True,,0.006668782327324152,43160,0.9949973225593567,8709791.0,2337,0.006668782327324152,,0.5228925943374634,0.16805331464856862,3.501925468444824,184529280.0,50,720
phase3c_gpu_000022_0088,phase3c_gpu_train,phase3a-v1,7 12 20 3 11 1 14 12 9 16 0 1 0 10 9 10,CONST_1 NEG MA20 close DIV high SIGN NEG SUB DELAY5 open high open MUL SUB MUL,(DELAY5(((MA20(NEG(CONST_1)) DIV close) SUB NEG(SIGN(high)))) MUL (open SUB (high MUL open))),16,10,True,,0.0066686891950666904,43252,0.9971182942390442,7.870477199554443,2337,0.0066686891950666904,,0.535301685333252,0.1680509677156806,3.501925468444824,110.98029327392578,22,88
phase3c_gpu_000027_0334,phase3c_gpu_train,phase3a-v1,5 14 5 7 19 1 11 19 2 9 5 13 8 11 8 24,amount SIGN amount CONST_1 MA10 high DIV MA10 low SUB amount ABS ADD DIV ADD DECAY,DECAY((SIGN(amount) ADD (amount DIV ((MA10((MA10(CONST_1) DIV high)) SUB low) ADD ABS(amount))))),16,10,True,,0.00666391383856535,43150,0.9947667717933655,0.012033121660351753,2337,0.00666391383856535,,0.5554129481315613,0.1679306287318468,3.501925468444824,2.000127077102661,27,334
