formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,validator_days,validator_total_return,validator_ann_return,validator_sharpe,validator_max_drawdown,validator_trade_count,validator_sell_count,validator_avg_cash_weight,benchmark_total_return,benchmark_ann_return
phase3c_gpu_000013_0464,10,no_max_holding,,5.0,2348,2.6852343610840848,0.1502601792727165,0.7448442854275945,-0.38523130689670837,423,210,0.013938736101645505,0.874150570584729,0.06974150244931265
phase3c_gpu_000013_0464,10,rank_only_no_max_holding,,5.0,2348,2.6852343610840848,0.1502601792727165,0.7448442854275945,-0.38523130689670837,423,210,0.013938736101645505,0.874150570584729,0.06974150244931265
phase3c_gpu_000013_0464,10,max_holding_10,10.0,5.0,2348,1.0430256337824289,0.07969292664762384,0.4668866114600642,-0.3687315700401361,1521,759,0.06482052776278138,0.874150570584729,0.06974150244931265
phase3c_gpu_000013_0464,10,rank_only_max_holding_10,10.0,5.0,2348,1.0430256337824289,0.07969292664762384,0.4668866114600642,-0.3687315700401361,1521,759,0.06482052776278138,0.874150570584729,0.06974150244931265
phase3c_gpu_000021_0348,10,no_max_holding,,5.0,2348,0.0,0.0,,0.0,0,0,1.0,0.874150570584729,0.06974150244931265
phase3c_gpu_000021_0348,10,rank_only_no_max_holding,,5.0,2348,2.0688523115771877,0.1278851654714943,0.6674110912875951,-0.35065775519820064,501,249,0.03932115307011412,0.874150570584729,0.06974150244931265
phase3c_gpu_000021_0348,10,max_holding_10,10.0,5.0,2348,0.0,0.0,,0.0,0,0,1.0,0.874150570584729,0.06974150244931265
phase3c_gpu_000021_0348,10,rank_only_max_holding_10,10.0,5.0,2348,2.4518644151755566,0.14221227396243297,0.7386625822881794,-0.3283557935635416,1793,895,0.07579190232952356,0.874150570584729,0.06974150244931265
phase3c_gpu_000026_0770,10,no_max_holding,,5.0,2348,0.0,0.0,,0.0,0,0,1.0,0.874150570584729,0.06974150244931265
phase3c_gpu_000026_0770,10,rank_only_no_max_holding,,5.0,2348,1.221743161005485,0.0894543832945236,0.5284619604964832,-0.35065775519820064,493,245,0.001832134897179947,0.874150570584729,0.06974150244931265
phase3c_gpu_000026_0770,10,max_holding_10,10.0,5.0,2348,0.0,0.0,,0.0,0,0,1.0,0.874150570584729,0.06974150244931265
phase3c_gpu_000026_0770,10,rank_only_max_holding_10,10.0,5.0,2348,1.7306477886821874,0.11383890203209157,0.6189884137914032,-0.3283557935635416,1793,895,0.07654791070478521,0.874150570584729,0.06974150244931265
phase3c_gpu_000045_0409,10,no_max_holding,,5.0,2348,0.017422290248992223,0.0018554714217171586,0.385378857891932,-0.006446483180428064,8,4,0.9994300511028689,0.874150570584729,0.06974150244931265
phase3c_gpu_000045_0409,10,rank_only_no_max_holding,,5.0,2348,2.0688523115771877,0.1278851654714943,0.6674110912875951,-0.35065775519820064,501,249,0.03932115307011412,0.874150570584729,0.06974150244931265
phase3c_gpu_000045_0409,10,max_holding_10,10.0,5.0,2348,0.017422290248992223,0.0018554714217171586,0.385378857891932,-0.006446483180428064,8,4,0.9994300511028689,0.874150570584729,0.06974150244931265
phase3c_gpu_000045_0409,10,rank_only_max_holding_10,10.0,5.0,2348,2.181499709100433,0.13225737987238517,0.6965262492701697,-0.3283557935635416,1793,895,0.07597167342920552,0.874150570584729,0.06974150244931265
phase3c_gpu_000045_0848,10,no_max_holding,,5.0,2348,1.1930210845279396,0.08793400127579942,0.46520494580381133,-0.5175741224376569,2263,1130,0.046640605531021485,0.874150570584729,0.06974150244931265
phase3c_gpu_000045_0848,10,rank_only_no_max_holding,,5.0,2348,1.484031964190934,0.10258072451615297,0.5150421435602958,-0.4709890814805979,2171,1084,0.008792196875842439,0.874150570584729,0.06974150244931265
phase3c_gpu_000045_0848,10,max_holding_10,10.0,5.0,2348,1.319545785308891,0.09450313940562682,0.4988185473481701,-0.5200073503318653,2696,1347,0.06296245144059183,0.874150570584729,0.06974150244931265
phase3c_gpu_000045_0848,10,rank_only_max_holding_10,10.0,5.0,2348,1.4022250192322412,0.09862508156738214,0.5098334356661827,-0.4925735614141262,2606,1302,0.025474198694891273,0.874150570584729,0.06974150244931265
phase3c_gpu_000009_0546,10,no_max_holding,,5.0,2348,-0.010649778577946911,-0.0011484614443137975,-0.3952517113363895,-0.010649778577946911,6,3,0.9994357599236519,0.874150570584729,0.06974150244931265
phase3c_gpu_000009_0546,10,rank_only_no_max_holding,,5.0,2348,1.6741598242791356,0.11134281773305643,0.5975736989784125,-0.37765726335948024,231,114,0.014993664319640594,0.874150570584729,0.06974150244931265
phase3c_gpu_000009_0546,10,max_holding_10,10.0,5.0,2348,-0.010649778577946911,-0.0011484614443137975,-0.3952517113363895,-0.010649778577946911,6,3,0.9994357599236519,0.874150570584729,0.06974150244931265
phase3c_gpu_000009_0546,10,rank_only_max_holding_10,10.0,5.0,2348,0.659650797969247,0.05587711887424063,0.36157746045375766,-0.31979642963378774,1442,720,0.08000152480796217,0.874150570584729,0.06974150244931265
phase3c_gpu_000025_0586,10,no_max_holding,,5.0,2348,0.0,0.0,,0.0,0,0,1.0,0.874150570584729,0.06974150244931265
phase3c_gpu_000025_0586,10,rank_only_no_max_holding,,5.0,2348,2.7551990619088316,0.15258430950011892,0.5822040867301146,-0.3809536882783189,145,71,0.02890742941555971,0.874150570584729,0.06974150244931265
phase3c_gpu_000025_0586,10,max_holding_10,10.0,5.0,2348,0.0,0.0,,0.0,0,0,1.0,0.874150570584729,0.06974150244931265
phase3c_gpu_000025_0586,10,rank_only_max_holding_10,10.0,5.0,2348,0.9230665091754031,0.07270374689759174,0.43192226482483825,-0.401547196672987,1398,698,0.09363451338424213,0.874150570584729,0.06974150244931265
phase3c_gpu_000014_0636,10,no_max_holding,,5.0,2348,0.9547124233578805,0.07458452227004897,0.42668473295379633,-0.3366660356765169,153,75,0.15045902680032752,0.874150570584729,0.06974150244931265
phase3c_gpu_000014_0636,10,rank_only_no_max_holding,,5.0,2348,3.6119666978793212,0.17828903680802033,0.6152795624967531,-0.3257698780450605,137,67,0.03698197106186392,0.874150570584729,0.06974150244931265
phase3c_gpu_000014_0636,10,max_holding_10,10.0,5.0,2348,0.29771777062352056,0.028364589706677545,0.23683334109484963,-0.3657973215680326,1237,617,0.20600516910263547,0.874150570584729,0.06974150244931265
phase3c_gpu_000014_0636,10,rank_only_max_holding_10,10.0,5.0,2348,0.33062252971892203,0.031131933156390845,0.2477143580140993,-0.509273295834765,1401,699,0.09312865003507151,0.874150570584729,0.06974150244931265
phase3c_gpu_000040_0942,10,no_max_holding,,5.0,2348,0.0,0.0,,0.0,0,0,1.0,0.874150570584729,0.06974150244931265
phase3c_gpu_000040_0942,10,rank_only_no_max_holding,,5.0,2348,1.7438367708029157,0.11441505261956597,0.5829626410404186,-0.38434698894864794,215,106,0.04253649467229849,0.874150570584729,0.06974150244931265
phase3c_gpu_000040_0942,10,max_holding_10,10.0,5.0,2348,0.0,0.0,,0.0,0,0,1.0,0.874150570584729,0.06974150244931265
phase3c_gpu_000040_0942,10,rank_only_max_holding_10,10.0,5.0,2348,0.2528297121898646,0.024486644549293946,0.21968705057520715,-0.5129774079863927,1486,742,0.072933798725863,0.874150570584729,0.06974150244931265
phase3c_gpu_000017_0063,10,no_max_holding,,5.0,2348,3.1042727587762293,0.16363241786987492,0.6160641826291688,-0.31869858836991105,677,337,0.01543811339736462,0.874150570584729,0.06974150244931265
phase3c_gpu_000017_0063,10,rank_only_no_max_holding,,5.0,2348,3.1042727587762293,0.16363241786987492,0.6160641826291688,-0.31869858836991105,677,337,0.01543811339736462,0.874150570584729,0.06974150244931265
phase3c_gpu_000017_0063,10,max_holding_10,10.0,5.0,2348,0.7854873987033568,0.0641917650308863,0.38449311448701196,-0.4679784212118787,1609,803,0.05475211656130646,0.874150570584729,0.06974150244931265
phase3c_gpu_000017_0063,10,rank_only_max_holding_10,10.0,5.0,2348,0.7854873987033568,0.0641917650308863,0.38449311448701196,-0.4679784212118787,1609,803,0.05475211656130646,0.874150570584729,0.06974150244931265
phase3c_gpu_000036_0397,10,no_max_holding,,5.0,2348,0.5999689993641875,0.051735061767349766,0.3450212943724443,-0.35065775519820064,269,133,0.0015159398183310763,0.874150570584729,0.06974150244931265
phase3c_gpu_000036_0397,10,rank_only_no_max_holding,,5.0,2348,0.5999689993641875,0.051735061767349766,0.3450212943724443,-0.35065775519820064,269,133,0.0015159398183310763,0.874150570584729,0.06974150244931265
phase3c_gpu_000036_0397,10,max_holding_10,10.0,5.0,2348,1.4424735670266657,0.10058601429837588,0.5421539934818558,-0.32256428861239883,1613,805,0.07577718641576121,0.874150570584729,0.06974150244931265
