formula,horizon,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,validator_days,validator_total_return,validator_ann_return,validator_sharpe,validator_max_drawdown,validator_trade_count,validator_sell_count,validator_avg_cash_weight,benchmark_total_return,benchmark_ann_return
ma_gap_5_20,5,2342,0.0030334993339984633,0.001961652733590405,0.5286080273270709,0.15288836643352255,3.5029888983774553,2348,0.7132684753068768,0.05948644131241365,0.3684228633725512,-0.3830222571954054,2627,1312,0.20524948968645623,0.874150570584729,0.06974150244931265
ma_gap_5_20,10,2337,0.005482205089474945,0.00246757871611795,0.5241762943945228,0.13815156825476863,3.501925545571245,2348,1.04381036165503,0.07973742803225914,0.44592009490697326,-0.37717122387150614,1763,880,0.15377018595183026,0.874150570584729,0.06974150244931265
mom_10,5,2342,0.0029553769312223185,0.002197864240547169,0.5290350128095644,0.14895099733360484,3.5029888983774553,2348,1.0751043157899534,0.08149977245639795,0.4535308634083914,-0.30511194167656597,3247,1622,0.20196154450839376,0.874150570584729,0.06974150244931265
mom_10,10,2337,0.00561005834449809,0.0031238526397171507,0.5327342747111682,0.1413734702813519,3.501925545571245,2348,1.7495461794411384,0.11466369735424853,0.5751102955141018,-0.26867618948385597,2465,1231,0.16516626386307326,0.874150570584729,0.06974150244931265
reversal_5,5,2342,0.0014318356181834688,0.00043478230832901443,0.5076857386848848,0.07216451515644683,3.5029888983774553,2348,0.07312623466701407,0.007603367235678782,0.1562537188209634,-0.39459025863866004,4125,2061,0.23701717220550556,0.874150570584729,0.06974150244931265
reversal_5,10,2337,0.001366963699867342,0.0018357810413884474,0.5151904150620453,0.03444748523665701,3.501925545571245,2348,0.09567838446141375,0.009854960871659824,0.16594693166580354,-0.4201932896130324,3901,1949,0.225110247906327,0.874150570584729,0.06974150244931265
volume_confirmed_mom_10,5,2342,0.00243383884168023,0.0019348125853934778,0.5269000853970965,0.12266547762068361,3.5029888983774553,2348,0.24220381846521422,0.023550523611098884,0.21645194855658934,-0.4442848424304131,4472,2235,0.3535759818993411,0.874150570584729,0.06974150244931265
volume_confirmed_mom_10,10,2337,0.004948894472241368,0.0027359627729655798,0.5310226786478391,0.12471214070048246,3.501925545571245,2348,0.353637879980357,0.03303147990945332,0.25892834284187266,-0.4428847690262865,4217,2107,0.3370813822030571,0.874150570584729,0.06974150244931265
