formula,horizon,date,equity,cash,cash_weight,position_count,held_symbols,drawdown,benchmark_equity,available_count
mom_10,10,2016-11-04,1.0,1.0,1.0,0,,0.0,1.0,10
mom_10,10,2016-11-07,1.0,1.1102230246251565e-16,1.1102230246251565e-16,3,512880;159928;510050,0.0,0.9998909940601929,10
mom_10,10,2016-11-08,1.0018315018315018,0.33516483516483525,0.3345521023765997,2,512880;159928,0.0,1.0054784712737013,10
mom_10,10,2016-11-09,0.992842820496818,0.0,0.0,3,512880;159928;510050,-0.008972248644858016,0.9968610469105005,10
mom_10,10,2016-11-10,1.0071571795031822,0.6707657421943136,0.6659990673205486,1,512880,0.0,1.009288084870813,10
mom_10,10,2016-11-11,1.026393540838014,0.0,0.0,3,512880;510050;510880,0.0,1.0182118998393428,10
mom_10,10,2016-11-14,1.0312861751951579,0.0,0.0,3,512880;510050;510880,0.0,1.0195302993683615,10
mom_10,10,2016-11-15,1.0241143117063138,0.0,0.0,3,512880;510050;510880,-0.006954290342820579,1.0199347421384775,10
mom_10,10,2016-11-16,1.0294516448135491,0.0,0.0,3,512880;510050;510880,-0.0017788761507072648,1.022463278603705,10
mom_10,10,2016-11-17,1.0294516448135491,0.0,0.0,3,512880;510050;510880,-0.0017788761507072648,1.0218001513046924,10
mom_10,10,2016-11-18,1.0210562077307788,0.0,0.0,3,512880;510050;510880,-0.009919620480167146,1.0182656697286265,10
mom_10,10,2016-11-21,1.030964631198231,0.0,0.0,3,510300;510050;510880,-0.0003117893021944429,1.0203764718699353,10
mom_10,10,2016-11-22,1.046390937925888,0.0,0.0,3,510300;510050;510880,0.0,1.0314422135821126,10
mom_10,10,2016-11-23,1.0482254683074967,0.0,0.0,3,510300;510050;510880,0.0,1.0298216261657636,10
mom_10,10,2016-11-24,1.0535691174631403,0.0,0.0,3,510300;510050;510880,0.0,1.03005462507307,10
mom_10,10,2016-11-25,1.0615965495353206,0.3543206428613463,0.3337620520869615,2,510300;512880,0.0,1.0395947599999174,10
mom_10,10,2016-11-28,1.0747828023496528,0.0021391784020247107,0.0019903355332334246,3,510300;510050;510880,0.0,1.0413659968461515,10
mom_10,10,2016-11-29,1.0880375247005847,0.0021391784020247107,0.0019660888098628655,3,510300;510050;510880,0.0,1.047271760508229,10
mom_10,10,2016-11-30,1.070441668002316,0.0021391784020247107,0.0019984072611979845,3,510300;510050;510880,-0.016172104636842155,1.0383677417765835,10
mom_10,10,2016-12-01,1.0862101021601003,0.0021391784020247107,0.001969396526298749,3,510300;510050;510880,-0.001679558378271273,1.048075732205402,10
mom_10,10,2016-12-02,1.0731249719858122,0.0021391784020247107,0.0019934103276584574,3,510300;510050;510880,-0.013705917651026023,1.0330784690011485,10
mom_10,10,2016-12-05,1.0506443805642403,0.350197947182772,0.33331729904147106,2,510050;510880,-0.034367513332441924,1.019033080362061,10
mom_10,10,2016-12-06,1.0471453767123304,0.0007349414153552947,0.0007018523231824345,3,510300;510050;510880,-0.037583398605215645,1.0181197154963033,10
mom_10,10,2016-12-07,1.0471453767123304,0.34723179003522747,0.3315984559139378,2,159928;510050,-0.037583398605215645,1.0245983118181512,10
mom_10,10,2016-12-08,1.0445227683146716,0.0,0.0,3,159928;510050;512660,-0.039993801130974616,1.0213021625964402,10
mom_10,10,2016-12-09,1.0565516383123543,0.0,0.0,3,159928;510050;510880,-0.02893823574411636,1.0234881713870883,10
mom_10,10,2016-12-12,1.0432821988188357,0.3581748179349302,0.34331537367400894,2,159928;510880,-0.041133991122286995,0.9897176171313128,10
mom_10,10,2016-12-13,1.041099998026759,1.041099998026759,1.0,0,,-0.04313962120630199,0.9885958863215141,10
mom_10,10,2016-12-14,1.041099998026759,1.041099998026759,1.0,0,,-0.04313962120630199,0.9841130706075432,10
mom_10,10,2016-12-15,1.041099998026759,1.041099998026759,1.0,0,,-0.04313962120630199,0.9801215214799651,10
mom_10,10,2016-12-16,1.041099998026759,1.041099998026759,1.0,0,,-0.04313962120630199,0.9835042039187877,10
