formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,date,equity,cash,cash_weight,position_count,held_symbols,drawdown,benchmark_equity,available_count
mom_10,10,no_max_holding,,5.0,2016-11-04,1.0,1.0,1.0,0,,0.0,1.0,10
mom_10,10,no_max_holding,,5.0,2016-11-07,0.9995002498750625,0.0,0.0,3,512880;159928;510050,-0.0004997501249375258,0.9998909940601929,10
mom_10,10,no_max_holding,,5.0,2016-11-08,1.0011619519770794,0.3345508408659682,0.3341625600186886,2,512880;159928,0.0,1.0054784712737013,10
mom_10,10,no_max_holding,,5.0,2016-11-09,0.9920149943000851,-5.551115123125783e-17,-5.595797598848155e-17,3,512880;159928;510050,-0.009136341686708072,0.9968610469105005,10
mom_10,10,no_max_holding,,5.0,2016-11-10,1.0059850955839964,0.6695936582751278,0.6656099192865418,1,512880,0.0,1.009288084870813,10
mom_10,10,no_max_holding,,5.0,2016-11-11,1.0248652386451205,-5.551115123125783e-17,-5.416434194279434e-17,3,512880;510050;510880,0.0,1.0182118998393428,10
mom_10,10,no_max_holding,,5.0,2016-11-14,1.0297557380588778,-5.551115123125783e-17,-5.390710551989553e-17,3,512880;510050;510880,0.0,1.0195302993683615,10
mom_10,10,no_max_holding,,5.0,2016-11-15,1.0225936014780044,-5.551115123125783e-17,-5.428466514070189e-17,3,512880;510050;510880,-0.006955180064715405,1.0199347421384775,10
mom_10,10,no_max_holding,,5.0,2016-11-16,1.0279233426206558,-5.551115123125783e-17,-5.400320133769317e-17,3,512880;510050;510880,-0.0017794466886643656,1.022463278603705,10
mom_10,10,no_max_holding,,5.0,2016-11-17,1.0279233426206558,-5.551115123125783e-17,-5.400320133769317e-17,3,512880;510050;510880,-0.0017794466886643656,1.0218001513046924,10
mom_10,10,no_max_holding,,5.0,2016-11-18,1.0195354975024693,-5.551115123125783e-17,-5.4447492379855446e-17,3,512880;510050;510880,-0.00992491731648315,1.0182656697286265,10
mom_10,10,no_max_holding,,5.0,2016-11-21,1.0300151998802622,-5.551115123125783e-17,-5.3893526268069554e-17,3,512880;510050;510880,0.0,1.0203764718699353,10
mom_10,10,no_max_holding,,5.0,2016-11-22,1.0466111102091256,-5.551115123125783e-17,-5.303894702605061e-17,3,512880;510050;510880,0.0,1.0314422135821126,10
mom_10,10,no_max_holding,,5.0,2016-11-23,1.0453854016718125,-5.551115123125783e-17,-5.310113489482701e-17,3,512880;510050;510880,-0.0011711212745182387,1.0298216261657636,10
mom_10,10,no_max_holding,,5.0,2016-11-24,1.0525475382526863,-5.551115123125783e-17,-5.273980434499976e-17,3,512880;510050;510880,0.0,1.03005462507307,10
mom_10,10,no_max_holding,,5.0,2016-11-25,1.0648596360687015,-5.551115123125783e-17,-5.213001728208657e-17,3,512880;510050;510880,0.0,1.0395947599999174,10
mom_10,10,no_max_holding,,5.0,2016-11-28,1.0763950607769484,0.0,0.0,3,510300;510050;510880,0.0,1.0413659968461515,10
mom_10,10,no_max_holding,,5.0,2016-11-29,1.0896877953051025,0.0,0.0,3,510300;510050;510880,0.0,1.047271760508229,10
mom_10,10,no_max_holding,,5.0,2016-11-30,1.072014434949328,0.0,0.0,3,510300;510050;510880,-0.016218737542918138,1.0383677417765835,10
mom_10,10,no_max_holding,,5.0,2016-12-01,1.0878553998668803,0.0,0.0,3,510300;510050;510880,-0.001681578380630766,1.048075732205402,10
mom_10,10,no_max_holding,,5.0,2016-12-02,1.074725313845338,0.0,0.0,3,510300;510050;510880,-0.013730980124977088,1.0330784690011485,10
mom_10,10,no_max_holding,,5.0,2016-12-05,1.0496956470049699,0.0,0.0,3,510300;510050;510880,-0.036700556317541544,1.019033080362061,10
mom_10,10,no_max_holding,,5.0,2016-12-06,1.0461935046351374,0.0,0.0,3,510300;510050;510880,-0.039914451512955695,1.0181197154963033,10
mom_10,10,no_max_holding,,5.0,2016-12-07,1.0456720101252484,0.34523664670495324,0.3301576817223993,2,159928;510050,-0.0403930239188649,1.0245983118181512,10
mom_10,10,no_max_holding,,5.0,2016-12-08,1.042921420198716,0.0,0.0,3,159928;510050;512660,-0.04291722391301289,1.0213021625964402,10
mom_10,10,no_max_holding,,5.0,2016-12-09,1.0545797086287774,-5.551115123125783e-17,-5.263817497819722e-17,3,159928;510050;510880,-0.03221848205292155,1.0234881713870883,10
mom_10,10,no_max_holding,,5.0,2016-12-12,1.0358949605851242,-5.551115123125783e-17,-5.3587625525181055e-17,3,159928;510050;510880,-0.04936536405357905,0.9897176171313128,10
mom_10,10,no_max_holding,,5.0,2016-12-13,1.0313802066687068,1.0313802066687068,1.0,0,,-0.05350852683457852,0.9885958863215141,10
mom_10,10,no_max_holding,,5.0,2016-12-14,1.0313802066687068,1.0313802066687068,1.0,0,,-0.05350852683457852,0.9841130706075432,10
mom_10,10,no_max_holding,,5.0,2016-12-15,1.0313802066687068,1.0313802066687068,1.0,0,,-0.05350852683457852,0.9801215214799651,10
mom_10,10,no_max_holding,,5.0,2016-12-16,1.0313802066687068,1.0313802066687068,1.0,0,,-0.05350852683457852,0.9835042039187877,10
mom_10,10,no_max_holding,,5.0,2016-12-19,1.0313802066687068,1.0313802066687068,1.0,0,,-0.05350852683457852,0.981857178379046,10
mom_10,10,no_max_holding,,5.0,2016-12-20,1.0420364486202853,0.687414907744693,0.6596841297200966,1,512010,-0.043729357059996476,0.9770469645556995,10
mom_10,10,no_max_holding,,5.0,2016-12-21,1.0391534567040066,1.0391534567040066,1.0,0,,-0.04637506157160065,0.9832408956030186,10
mom_10,10,no_max_holding,,5.0,2016-12-22,1.0391534567040066,1.0391534567040066,1.0,0,,-0.04637506157160065,0.9830399101037848,10
mom_10,10,no_max_holding,,5.0,2016-12-23,1.0391534567040066,1.0391534567040066,1.0,0,,-0.04637506157160065,0.9749829524836572,10
mom_10,10,no_max_holding,,5.0,2016-12-26,1.0391534567040066,1.0391534567040066,1.0,0,,-0.04637506157160065,0.9811241140149725,10
mom_10,10,no_max_holding,,5.0,2016-12-27,1.0360135116096003,0.0,0.0,3,512660;512100;512010,-0.04925657048446053,0.9788141361439794,10
mom_10,10,no_max_holding,,5.0,2016-12-28,1.032032744312814,0.0,0.0,3,512660;512100;512010,-0.05290969692483849,0.973137676598908,10
mom_10,10,no_max_holding,,5.0,2016-12-29,1.02329265507608,0.0,0.0,3,512660;512100;512010,-0.06093042476485899,0.9705182679196487,10
mom_10,10,no_max_holding,,5.0,2016-12-30,1.0384969150120036,1.0384969150120036,1.0,0,,-0.046977565972248,0.975967459326501,10
mom_10,10,no_max_holding,,5.0,2017-01-03,1.0462512895593388,0.6921581938555004,0.6615601823028808,1,512010,-0.039861422632160415,0.9859753853882735,10
mom_10,10,no_max_holding,,5.0,2017-01-04,1.0464696556156818,-5.551115123125783e-17,-5.304611646727424e-17,3,512880;512660;512100,-0.03966102940275662,0.9950414274549222,10
mom_10,10,no_max_holding,,5.0,2017-01-05,1.0485261370551313,0.0,0.0,3,510880;512660;510300,-0.037773808633367656,0.9961779781777328,10
mom_10,10,no_max_holding,,5.0,2017-01-06,1.0522239936478328,-5.551115123125783e-17,-5.2756021119431695e-17,3,510880;512660;512010,-0.034380307661223464,0.9932562503272709,10
mom_10,10,no_max_holding,,5.0,2017-01-09,1.0524142506596619,-5.551115123125783e-17,-5.274648380755295e-17,3,510880;512660;159928,-0.03420570993456373,0.9979941202454519,10
mom_10,10,no_max_holding,,5.0,2017-01-10,1.047381203121379,-5.551115123125783e-17,-5.299994984235434e-17,3,510880;512660;512100,-0.03882450768559642,0.9942020977846038,10
mom_10,10,no_max_holding,,5.0,2017-01-11,1.0419140166515128,0.0,0.0,3,510880;512660;159928,-0.043841712148582346,0.9897603267996169,10
mom_10,10,no_max_holding,,5.0,2017-01-12,1.0326718662540524,0.0,0.0,3,510880;512660;159928,-0.05232317852572277,0.9845066671100152,10
mom_10,10,no_max_holding,,5.0,2017-01-13,1.0270370455328033,0.0,0.0,3,510880;512660;159928,-0.05749421994283932,0.9786612708862673,10
mom_10,10,no_max_holding,,5.0,2017-01-16,1.0146544586394886,0.0,0.0,3,510880;512660;159928,-0.06885764618902179,0.9663120746123218,10
mom_10,10,no_max_holding,,5.0,2017-01-17,1.019752230783616,-5.551115123125783e-17,-5.4435920369206716e-17,3,510880;510050;510300,-0.06417945105267997,0.9729626733142386,10
mom_10,10,no_max_holding,,5.0,2017-01-18,1.0237237060276585,0.33071893183867557,0.323054873000802,2,510880;510050,-0.06053485187376506,0.9738371116913118,10
mom_10,10,no_max_holding,,5.0,2017-01-19,1.019586788596603,0.33071893183867557,0.32436565041597815,2,510880;510050,-0.06433127636239322,0.9694911142281071,10
